Date,High,Low,Mid,Last,Bid,Ask,Volume
2018-12-19,3547.4,3298.83845579,3348.8,3348.8,3348.7,3348.9,3733.86314783
2018-12-18,3340.66308756,3118.5,3314.8,3314.85547789,3314.7,3314.9,2132.71734332
2018-12-17,3300.0,2900.61881253,3190.6,3190.26876393,3190.1,3191.1,3696.48254644
2018-12-16,2989.6,2897.0,2920.5,2920.6,2920.4,2920.6,753.83349839
2018-12-15,2939.3,2844.34280924,2909.0,2908.4,2908.9,2909.1,1291.97518733
2018-12-14,2986.4,2853.6,2897.1,2895.09675019,2897.0,2897.2,2198.33724843
2018-12-13,3119.0,2919.2,2946.15,2946.4,2946.1,2946.2,2231.43880219
2018-12-12,3181.99166183,3015.0,3098.9,3098.86295932,3098.8,3099.0,2648.64320959
2018-12-11,3122.6,2987.26229168,3031.6,3030.4,3031.5,3031.7,2467.91082482
2018-12-10,3249.9,3054.4,3108.8,3108.7,3108.7,3108.9,2597.72643401
2018-12-09,3326.1,3047.76046492,3200.1,3205.3,3200.0,3200.2,2373.27058633
2018-12-08,3338.3,2913.4,3089.0,3088.96422549,3088.9,3089.1,3756.54233035
2018-12-07,3180.20670187,2878.8,3028.0,3028.0,3027.9,3028.1,5473.30499874
2018-12-06,3457.85159852,3079.5,3118.65,3119.01130928,3118.4,3118.9,5929.05585126
2018-12-05,3528.30000351,3303.6,3329.0,3329.9,3328.9,3329.1,2958.39469999
2018-12-04,3628.08107369,3331.7,3499.1,3499.2,3499.0,3499.2,3072.92160398
2018-12-03,3694.37272797,3373.9,3442.65,3442.6,3442.6,3442.7,2896.82853303
2018-12-02,3860.2,3634.9,3668.45,3660.1,3668.4,3668.5,2023.95381031
2018-12-01,3834.22874512,3503.1,3759.25,3752.8,3759.1,3759.4,1909.49709321
2018-11-30,3834.9,3487.4,3565.6,3559.0,3565.5,3565.7,2570.6086686
2018-11-29,3952.2,3664.0,3774.4,3774.5,3774.3,3774.5,3815.25645562
2018-11-28,3911.4,3443.35608002,3799.2,3801.77143182,3799.1,3799.3,4317.12848982
2018-11-27,3505.7,3257.2,3426.25,3422.1,3426.2,3426.3,3619.43118393
2018-11-25,3730.1,3226.8,3626.1,3626.2,3626.0,3626.2,3678.45214007
2018-11-24,3992.68305806,3368.48193962,3485.9,3490.0,3485.7,3486.1,3268.83039211
2018-11-23,3955.99999015,3690.60001401,3902.65,3902.6,3902.6,3902.7,2490.70014111
2018-11-22,4147.90000123,3821.9,3875.0,3879.1,3874.9,3875.1,2700.59383808
2018-11-21,4202.9,3882.10000838,4115.45,4109.1,4115.0,4115.9,3114.47322966
2018-11-20,4416.00001901,3786.79999245,3950.55,3953.1,3950.5,3950.6,7191.34832881
2018-11-19,4955.4,4240.49999798,4344.8,4344.7,4344.7,4344.9,4971.41532205
2018-11-18,5030.4,4921.8,4955.35,4954.5,4955.3,4955.4,972.59282773
2018-11-17,4956.4,4877.6,4924.9,4924.98413648,4924.8,4925.0,739.06814951
2018-11-16,5099.2,4862.29010239,4945.0,4947.57500352,4944.9,4945.1,1438.70688895
2018-11-15,5247.0,4808.9908529,5070.1,5055.9,5070.0,5070.2,2593.50880377
2018-11-14,5747.0,5009.4,5193.1,5188.94126575,5192.9,5193.3,4280.99271805
2018-11-12,5747.93586947,5669.7,5740.85,5742.0,5737.8,5743.9,494.89498848
2018-11-11,5693.88659831,5607.79997629,5693.9,5693.88659831,5693.8,5694.0,386.16570453
2018-11-10,5706.11665487,5659.8,5672.4,5672.33490601,5672.3,5672.5,222.05067115
2018-11-09,5736.3,5625.70000275,5662.8,5662.8,5662.7,5662.9,726.2490199
2018-11-08,5760.3717465,5655.73092,5703.65,5703.68317985,5703.6,5703.7,752.7847363
2018-11-07,5794.8,5689.4,5747.45,5747.8458681,5747.4,5747.5,908.7247488
2018-11-06,5714.26490365,5651.1,5691.85,5691.8,5691.8,5691.9,577.00746711
2018-11-05,5708.1,5637.25571961,5666.9,5666.9,5666.8,5667.0,599.08041012
2018-11-04,5734.6,5583.0,5680.95,5680.95141512,5680.9,5681.0,501.34140046
2018-11-03,5648.01172701,5553.70000691,5605.2,5605.19176947,5605.1,5605.3,350.94595043
2018-11-02,5663.23152985,5587.72661376,5646.0,5645.95989421,5645.9,5646.1,581.62748837
2018-11-01,5650.00000419,5571.1,5608.15,5608.1,5608.1,5608.2,418.93079201
2018-10-31,5662.12281294,5520.5,5633.35,5633.36436971,5633.3,5633.4,815.9032357
2018-10-30,5613.0,5557.82703915,5581.65,5580.9,5581.6,5581.7,835.85912256
2018-10-29,5713.288095,5549.88364456,5576.45,5573.0,5576.4,5576.5,1087.86394367
2018-10-27,5737.86489979,5669.50279815,5683.25,5680.6,5682.9,5683.6,347.81407064
2018-10-26,5800.2,5715.83313365,5720.65,5720.6,5720.6,5720.7,575.63434036
2018-10-25,5772.9,5664.76418334,5757.6,5757.29489417,5757.5,5757.7,662.19007447
2018-10-24,5800.0,5706.99997842,5758.1,5758.1,5758.0,5758.2,875.58587934
2018-10-22,5752.5,5690.58855723,5728.75,5728.8,5728.7,5728.8,724.9481828
2018-10-21,5773.8,5699.8,5733.65,5733.7,5733.6,5733.7,197.32243901
2018-10-20,5731.8,5646.8,5714.5,5716.0,5714.4,5714.6,364.16307306
2018-10-18,5896.0,5732.53051196,5759.05,5757.06656391,5758.6,5759.5,1256.75938225
2018-10-17,5878.2,5781.99917619,5858.75,5858.80297014,5858.7,5858.8,971.67467825
2018-10-16,5960.9,5756.3,5804.2,5804.2,5804.1,5804.3,884.8721711
2018-10-15,6700.00001244,5449.4,5803.25,5803.3,5803.2,5803.3,5677.49757349
2018-10-14,5542.4805958,5458.6933443,5513.6,5513.62439227,5513.5,5513.7,300.79734227
2018-10-13,5471.3,5426.3,5464.2,5464.3,5464.1,5464.3,254.4842086
2018-10-12,5492.3,5365.98992883,5444.25,5444.2,5444.2,5444.3,783.78889856
2018-10-11,5750.4,5376.7,5415.2,5415.2,5415.1,5415.3,2185.87976733
2018-10-10,5800.82957343,5657.3,5736.45,5736.22735169,5736.4,5736.5,1108.50391452
2018-10-09,5819.32088474,5764.9795325,5799.95,5800.0,5799.9,5800.0,885.28745776
2018-10-08,5862.95006584,5713.56831173,5802.8,5803.06092215,5802.7,5802.9,1242.54036255
2018-10-07,5727.3,5657.2,5714.25,5714.3,5714.2,5714.3,390.04239507
2018-10-06,5763.7,5691.4,5711.5,5713.55944532,5711.4,5711.6,511.04213593
2018-10-05,5829.3,5651.99999965,5747.85,5747.4,5747.8,5747.9,1171.60133057
2018-10-04,5792.5,5636.9,5728.7,5728.76734632,5728.6,5728.8,900.2525263
2018-10-03,5690.5,5547.2,5638.55,5638.50568046,5638.5,5638.6,1300.82034512
2018-10-02,5740.79999095,5601.70000331,5687.85,5687.89747548,5687.8,5687.9,899.71526394
2018-10-01,5739.6,5600.3,5695.1,5695.1,5695.0,5695.2,709.58250511
2018-09-30,5733.0,5619.7,5714.0,5711.8,5713.7,5714.3,446.1741711
2018-09-28,5874.1,5637.5,5712.0,5717.5,5711.9,5712.1,1505.02001204
2018-09-27,5790.51198581,5499.32038636,5743.25,5745.32284943,5743.1,5743.4,1385.52853635
2018-09-26,5581.59997676,5429.1,5496.55,5502.6,5496.0,5497.1,1020.63769747
2018-09-25,5612.8,5378.5,5445.05,5444.9,5445.0,5445.1,1901.8834553
2018-09-24,5725.0,5590.7,5621.3,5621.25128815,5621.2,5621.4,1906.76985869
2018-09-23,5765.5,5660.5,5716.45,5717.47910956,5716.4,5716.5,661.22855197
2018-09-22,5811.7,5524.62674465,5703.6,5701.7,5703.5,5703.7,877.82689385
2018-09-21,5779.8,5500.7,5724.7,5724.6,5724.6,5724.8,1842.45563785
2018-09-20,5590.00001083,5383.1,5511.9,5511.9,5511.8,5512.0,1030.10428809
2018-09-19,5607.10000086,5225.13800532,5467.8,5467.8,5467.7,5467.9,1952.95669842
2018-09-18,5465.0,5334.4,5439.95,5439.90541684,5439.9,5440.0,1160.23507514
2018-09-17,5627.80001961,5308.8,5357.7,5360.0,5357.6,5357.8,1990.0870172
2018-09-16,5609.8,5480.2,5586.75,5586.8,5586.7,5586.8,406.12014022
2018-09-15,5647.5999789,5556.8,5608.4,5608.4,5608.3,5608.5,293.47494839
2018-09-14,5636.3000118,5433.60241227,5608.1,5612.5,5608.0,5608.2,1429.89527603
2018-09-13,5587.1,5437.3,5548.3,5548.35475533,5548.2,5548.4,1917.36431654
2018-09-12,5462.0,5347.32717562,5443.1,5442.90431488,5443.0,5443.2,1450.27298722
2018-09-11,5524.5,5328.0,5435.75,5436.4,5435.7,5435.8,1597.55829412
2018-09-10,5513.9,5361.40809632,5420.15,5420.1,5420.1,5420.2,1182.36441153
2018-09-09,5572.7,5308.1,5412.55,5414.7,5412.5,5412.6,996.28685565
2018-09-08,5595.7,5288.49712813,5337.25,5337.2,5337.2,5337.3,1307.77556438
2018-09-07,5633.2,5435.7,5541.35,5541.3,5541.3,5541.4,2508.40112539
2018-09-06,5957.8,5408.27513289,5557.7,5556.56084496,5557.6,5557.8,5558.47579729
2018-09-05,6403.3,5931.03301971,5940.3,5935.88394264,5940.2,5940.4,2652.74812041
2018-09-04,6411.6,6240.58247686,6356.7,6355.4,6356.6,6356.8,1765.69462834
2018-09-03,6343.05096086,6205.5,6276.65,6276.69534474,6276.6,6276.7,1734.94838119
2018-09-02,6389.00001735,6140.00001667,6290.5,6290.4,6290.4,6290.6,1215.57446447
2018-09-01,6255.54617442,6023.3,6206.5,6208.49923686,6205.3,6207.7,1070.45918032
2018-08-31,6117.7,5910.0,6045.65,6045.6,6045.6,6045.7,1395.70672568
2018-08-30,6032.31028703,5829.89772177,5941.5,5941.5,5941.4,5941.6,1357.29368405
2018-08-29,6116.1,5918.9,6023.0,6023.13355097,6022.9,6023.1,1181.80878646
2018-08-28,6094.3,5775.58573219,6054.4,6054.44131465,6054.3,6054.5,2324.6293774
2018-08-27,5819.2,5723.09999112,5777.8,5777.42207289,5777.7,5777.9,1046.11204537
2018-08-26,5835.7,5636.8,5750.1,5751.8,5750.0,5750.2,625.23399665
2018-08-25,5844.5,5734.0,5778.6,5778.63450729,5778.5,5778.7,671.06572019
2018-08-24,5776.9745171,5554.0,5756.45,5760.9,5756.1,5756.8,1124.12918952
2018-08-23,5688.0,5459.5,5640.85,5643.7,5640.8,5640.9,2010.43389922
2018-08-22,5957.3,5392.3,5490.25,5490.5,5490.2,5490.3,4708.20156076
2018-08-21,5667.0,5422.52969349,5593.6,5593.0,5593.5,5593.7,2154.58139046
2018-08-20,5704.3,5491.02508484,5494.3,5492.2,5493.9,5494.7,1130.5709734
2018-08-19,5725.4,5513.6,5690.4,5679.48283612,5690.3,5690.5,589.35770645
2018-08-18,5778.0,5502.89248625,5590.7,5592.4,5590.6,5590.8,940.65953971
2018-08-17,5765.7,5504.0,5730.95,5729.38455319,5730.5,5731.4,2158.55944227
2018-08-16,5694.3,5476.90000566,5528.35,5529.06798375,5528.1,5528.6,2768.95986553
2018-08-15,5865.1,5383.31068135,5632.1,5636.66532334,5632.0,5632.2,4004.33739372
2018-08-14,5507.20158552,5135.29723581,5427.15,5427.18846527,5427.1,5427.2,3800.79544983
2018-08-13,5746.4,5386.3,5483.0,5483.05656437,5482.9,5483.1,3115.75275756
